,Date,Start,high,low,close,percent,5MA,20MA,60MA,Demark_high,Demark_middle,Demakr_low,volume,5VOL,20VOL,60VOL,PVT,Sonar,RSI,Momentum,RMI,OBV
3532,2017-02-22,17720,18040,17640,17900,1.24%,17192.0,16334.0,15964.0,18090.0,17580.0,17410.0,5172445.0,4036452.0,2528217.0,1745915.0,64668005.0,2.25,65.82,112.16,65.51,831946200.0
3533,2017-02-23,17820,17900,17520,17580,-1.79%,17412.0,16425.0,15992.0,18170.0,17870.0,17770.0,2539785.0,3974686.0,2610440.0,1770495.0,64622601.0,2.6,61.74,102.93,68.09,829406415.0
3534,2017-02-24,17700,17920,17520,17620,0.23%,17548.0,16545.0,16020.0,17740.0,17645.0,17360.0,1848345.0,3780664.0,2563602.0,1785157.0,64626807.0,3.23,62.05,103.53,73.31,831254760.0
3535,2017-02-27,17500,17580,17140,17160,-2.61%,17588.0,16632.0,16047.0,17770.0,17670.0,17370.0,1653680.0,3816632.0,2567189.0,1791389.0,64583635.0,3.63,56.49,102.02,76.99,829601080.0
3536,2017-02-28,17300,17360,16980,17080,-0.47%,17468.0,16709.0,16076.0,17370.0,17260.0,16930.0,2221520.0,2687155.0,2613070.0,1812706.0,64573278.0,4.04,55.58,100.59,81.78,827379560.0
3537,2017-03-02,17200,17220,16900,17060,-0.12%,17300.0,16778.0,16109.0,17220.0,17125.0,16840.0,1771915.0,2007049.0,2652288.0,1826405.0,64571203.0,4.32,55.34,100.47,85.35,825607645.0
3538,2017-03-03,17000,17300,16880,17160,0.59%,17216.0,16859.0,16146.0,17140.0,17060.0,16820.0,1983360.0,1895764.0,2680039.0,1843378.0,64582829.0,4.79,56.32,104.13,89.54,827591005.0
3539,2017-03-06,17000,17140,16720,16760,-2.33%,17044.0,16917.0,16175.0,17440.0,17125.0,17020.0,1911910.0,1908477.0,2731074.0,1864130.0,64538262.0,4.92,51.54,98.94,91.61,825679095.0
3540,2017-03-07,16720,16860,16520,16740,-0.12%,16960.0,16981.0,16204.0,16950.0,16845.0,16530.0,1388740.0,1855489.0,2758225.0,1877639.0,64536605.0,5.15,51.31,98.7,95.51,824290355.0
3541,2017-03-08,16840,16860,16540,16600,-0.84%,16864.0,17028.0,16226.0,16970.0,16715.0,16630.0,1433570.0,1697899.0,2786592.0,1884828.0,64524616.0,4.92,49.68,93.89,92.19,822856785.0
3542,2017-03-09,16700,16980,16560,16560,-0.24%,16764.0,17058.0,16238.0,16730.0,16650.0,16410.0,1753150.0,1694146.0,2806927.0,1889010.0,64520391.0,4.43,49.2,92.51,85.98,821103635.0
3543,2017-03-10,16700,17160,16320,17060,3.02%,16744.0,17057.0,16257.0,16770.0,16665.0,16350.0,2506525.0,1798779.0,2544601.0,1904542.0,64596071.0,3.85,54.87,97.04,82.71,823610160.0
3544,2017-03-13,17080,17100,16800,16960,-0.59%,16784.0,17054.0,16275.0,17530.0,16900.0,16690.0,1705140.0,1757425.0,2431673.0,1917001.0,64586076.0,3.08,53.61,96.25,78.0,821905020.0
3545,2017-03-14,16920,16960,16520,16700,-1.53%,16776.0,17048.0,16291.0,17030.0,16955.0,16730.0,3127265.0,2105130.0,2488628.0,1945634.0,64538135.0,2.5,50.42,97.32,74.13,818777755.0
